T,d,attention_ms,fft_ms,attention_peak_bytes,fft_peak_bytes
128,256,0.08111039642244577,0.2162249991670251,297104,528768
256,256,0.4096416523680091,0.24213545257225633,1084048,1053056
512,256,1.1062978999689221,0.3154062433168292,4230800,2101632
1024,256,3.9714937447570264,0.5559437442570925,16815760,4198784
2048,256,17.50468125101179,1.2661729007959366,67151504,8393088
4096,256,82.67319579608738,2.9798729112371802,268486288,16781696
