T,d,attention_ms,local_attention_ms,fft_ms,attention_peak_bytes,local_attention_peak_bytes,fft_peak_bytes
128,256,0.06514580454677343,2.4087728932499886,0.07475835736840963,297104,297904,528768
256,256,0.2200896036811173,5.097154201939702,0.1367291435599327,1084048,428976,1053056
512,256,0.92547289095819,10.38934999378398,0.2771458588540554,4230800,691120,2101632
1024,256,3.93209585454315,21.020700002554804,0.553247903008014,16815760,1215408,4198784
2048,256,17.479727091267705,42.56892080884427,1.5053958515636623,67151504,2263984,8393088
4096,256,80.20622289041057,84.91096249781549,2.9284895514138043,268486288,4361136,16781696
