T,d,att_ms,loc_ms,fft_ms,att_pk,loc_pk,fft_pk
128,256,0.0645562497084029,2.440249999926891,0.07544164982391521,297104,297904,528768
256,256,0.2202687508543022,5.072622899024282,0.1365375006571412,1084048,428976,1053056
512,256,0.8978562502306886,10.345420851081144,0.27592705009737983,4230800,691120,2101632
1024,256,3.9427249997970644,20.927899998787325,0.5417291496996768,16815760,1215408,4198784
2048,256,17.37627084949054,42.032454200671054,1.2162312501459382,67151504,2263984,8393088
4096,256,80.07023124955595,84.5326833499712,2.6999875000910833,268486288,4361136,16781696
